name,boro,zipcode,score,latitude,longitude,nta,review_count,transactions,price,community_by_nta,median_income_by_com,pop_by_nta,distance,cuisine_type,above_avg
the liberty,Manhattan,10001.0,12.0,40.74960293,-73.98526743,MN17,465,"['pickup', 'delivery']",2,M05,120248.0,28630.0,5002.904970938874,european,0
beer authority,Manhattan,10018.0,12.0,40.75611685,-73.9911567,MN15,632,"['delivery', 'pickup']",2,M05,120248.0,45884.0,5623.813049519464,american,0
the park view,Manhattan,10034.0,12.0,40.86563426,-73.92737954,MN01,329,"['delivery', 'pickup']",2,M12,53507.0,46746.0,18699.36864755756,american,0
chikurin japanese restaurant,Brooklyn,11235.0,11.0,40.58817364,-73.95229474,BK17,6,"['delivery', 'pickup']",3,K15,75127.0,64518.0,13532.455897004842,e_asian,0
best luncheonette,Brooklyn,11214.0,12.0,40.60420471,-74.00671996,BK27,8,[],3,K11,57139.0,29931.0,11329.80442671273,american,0
sullivan street bakery,Manhattan,10001.0,9.0,40.74735866,-74.0006785,MN13,505,[],2,M05,120248.0,70150.0,6473.318564773586,bakery_deli_cafe,0
sam lee kitchen,Queens,11106.0,13.0,40.759780400000004,-73.9366063,QN68,36,"['delivery', 'pickup']",1,Q01,79180.0,20030.0,7743.210398578382,e_asian,0
fuji sushi,Staten Island,10305.0,12.0,40.59856394,-74.07989449,SI14,206,"['pickup', 'delivery']",2,S02,82089.0,16079.0,6765.034274630904,e_asian,0
sangria 46,Manhattan,10036.0,13.0,40.76028322,-73.98912387,MN15,432,[],2,M05,120248.0,45884.0,6101.047391035821,latin_caribbean,0
xixa,Brooklyn,11211.0,7.0,40.71032983,-73.95869962,BK73,578,"['delivery', 'pickup']",3,K01,98284.0,45774.0,3065.231556460294,american,1
bocado cafe,Manhattan,10128.0,4.0,40.7803665,-73.95493325,MN40,464,"['delivery', 'pickup']",2,M08,134264.0,61207.0,8955.43345930382,american,0
gramercy tavern,Manhattan,10003.0,4.0,40.73884388,-73.98902634,MN13,2926,[],4,M05,120248.0,70150.0,3702.807580119717,american,1
maria pizzeria,Brooklyn,11228.0,41.0,40.62764455,-74.01367162,BK30,58,"['delivery', 'pickup']",1,K10,76569.0,42419.0,8813.068364664776,italian_pizza,0
greenwood park,Brooklyn,11215.0,9.0,40.65972024,-73.98791848,BK40,437,[],2,K07,67871.0,20988.0,5153.503186998692,american,0
aji sushi house,Queens,11105.0,11.0,40.77424792,-73.90806233,QN72,449,"['pickup', 'delivery']",2,Q01,79180.0,47534.0,10552.995127799979,e_asian,1
the owl farm,Brooklyn,11215.0,13.0,40.66946684,-73.98690015,BK37,195,[],2,K06,155250.0,67649.0,4039.091050363301,american,1
cafe de cupping,Queens,11354.0,13.0,40.76521441,-73.81452508,QN51,355,"['delivery', 'pickup']",2,Q07,54933.0,51739.0,16558.62610784046,bakery_deli_cafe,0
takesushi,Queens,11104.0,7.0,40.74457381,-73.92222138,QN31,365,"['delivery', 'pickup']",2,Q02,80913.0,63271.0,7429.2801917347215,e_asian,0
spicy village,Manhattan,10002.0,6.0,40.71708921,-73.9935067,MN27,664,"['pickup', 'delivery']",1,M03,41302.0,47844.0,1290.0560443478673,e_asian,0
hollow nickel,Brooklyn,11217.0,9.0,40.68570422,-73.98171558,BK38,214,"['delivery', 'pickup']",2,K02,111546.0,34495.0,2442.8774346535793,american,0
bagels & brew,Queens,11103.0,12.0,40.75778029999999,-73.91645581,QN70,213,"['pickup', 'delivery']",1,Q01,79180.0,78793.0,8793.372333425616,american,0
el mitote,Manhattan,10023.0,6.0,40.77579261,-73.97998656,MN14,497,"['delivery', 'pickup']",2,M07,136735.0,61489.0,7917.892101138702,latin_caribbean,0
the organic grill,Manhattan,10003.0,13.0,40.7272798,-73.98552494,MN22,442,"['delivery', 'pickup']",2,M03,41302.0,44136.0,2542.413382236769,american,0
